,Date/Time,Lat,Lon,Base
262,9/1/2014 13:58:00,40.7757,-73.9467,B02512
263,9/1/2014 13:58:00,40.7503,-73.9946,B02512
264,9/1/2014 13:59:00,40.7677,-73.9836,B02512
265,9/1/2014 14:01:00,40.7078,-74.0061,B02512
266,9/1/2014 14:02:00,40.774,-73.8724,B02512
267,9/1/2014 14:08:00,40.7356,-73.9885,B02512
268,9/1/2014 14:09:00,40.7739,-73.8726,B02512
269,9/1/2014 14:11:00,40.8608,-73.9325,B02512
270,9/1/2014 14:11:00,40.7388,-73.998,B02512
271,9/1/2014 14:12:00,40.776,-73.9108,B02512
272,9/1/2014 14:12:00,40.7491,-73.9764,B02512
273,9/1/2014 14:14:00,40.8022,-73.9696,B02512
274,9/1/2014 14:14:00,40.742,-73.9895,B02512
275,9/1/2014 14:15:00,40.7401,-73.9933,B02512
276,9/1/2014 14:19:00,40.7741,-73.8726,B02512
277,9/1/2014 14:19:00,40.7632,-73.9265,B02512
278,9/1/2014 14:20:00,40.6446,-73.7824,B02512
279,9/1/2014 14:21:00,40.7778,-73.959,B02512
280,9/1/2014 14:23:00,40.7607,-73.724,B02512
281,9/1/2014 14:27:00,40.7685,-73.8627,B02512
282,9/1/2014 14:27:00,40.7215,-73.9989,B02512
283,9/1/2014 14:27:00,40.7676,-73.9823,B02512
284,9/1/2014 14:28:00,40.7569,-73.9889,B02512
285,9/1/2014 14:31:00,40.7653,-73.9694,B02512
286,9/1/2014 14:32:00,40.7324,-73.9894,B02512
287,9/1/2014 14:32:00,40.7103,-74.0105,B02512
288,9/1/2014 14:35:00,40.6418,-73.7883,B02512
289,9/1/2014 14:36:00,40.714,-74.0126,B02512
290,9/1/2014 14:39:00,40.7618,-73.9795,B02512
291,9/1/2014 14:39:00,40.6467,-73.7893,B02512
292,9/1/2014 14:39:00,40.7748,-73.9908,B02512
293,9/1/2014 14:39:00,40.7406,-74.0055,B02512
294,9/1/2014 14:42:00,40.7673,-73.8992,B02512
295,9/1/2014 14:43:00,40.7781,-73.9553,B02512
296,9/1/2014 14:43:00,40.7755,-73.9607,B02512
297,9/1/2014 14:43:00,40.7783,-73.9805,B02512
298,9/1/2014 14:45:00,40.7833,-73.98,B02512
299,9/1/2014 14:45:00,40.7707,-73.8656,B02512
300,9/1/2014 14:47:00,40.7215,-73.9884,B02512
301,9/1/2014 14:47:00,40.7753,-73.9535,B02512
302,9/1/2014 14:47:00,40.7706,-73.8655,B02512
303,9/1/2014 14:49:00,40.7226,-73.9809,B02512
304,9/1/2014 14:51:00,40.7822,-73.9761,B02512
305,9/1/2014 14:54:00,40.7752,-73.9636,B02512
306,9/1/2014 14:55:00,40.7752,-73.9591,B02512
307,9/1/2014 14:57:00,40.7028,-73.9161,B02512
308,9/1/2014 15:00:00,40.7614,-73.966,B02512
309,9/1/2014 15:06:00,40.7805,-73.9762,B02512
310,9/1/2014 15:08:00,40.7646,-73.9619,B02512
311,9/1/2014 15:08:00,40.8553,-73.4815,B02512
312,9/1/2014 15:09:00,40.7189,-73.9567,B02512
313,9/1/2014 15:09:00,40.7417,-73.9974,B02512
314,9/1/2014 15:13:00,40.7346,-73.9923,B02512
315,9/1/2014 15:14:00,40.7307,-73.9829,B02512
316,9/1/2014 15:14:00,40.6415,-73.789,B02512
317,9/1/2014 15:16:00,40.7184,-74.0105,B02512
318,9/1/2014 15:16:00,40.7489,-73.9757,B02512
